Epsilon,mean-Top100,standardDeviation-Top100,median-Top100,min-Top100,max-Top100,mean-Top10,standardDeviation-Top10,median-Top10,min-Top10,max-Top10
BM25,0.9208491027090219,0.02202322017662307,0.9277851842985414,0.8221692413226804,0.9582036918927604,0.8353859526009733,0.0992312562389481,0.852675159003952,0.2697318007662836,0.9803917227768316
0,0.9416183000381529,0.011248587836474715,0.9438505918672256,0.8868793822615704,0.964695298157584,0.9514696473092524,0.017352947026591754,0.9546466083428792,0.7892050987114352,0.9865436550819692
0.01,0.9416476595948833,0.01116679022526655,0.9438697382575992,0.8893907754473421,0.964695298157584,0.9513207025545044,0.01728804740936267,0.9544118057950396,0.7892050987114352,0.9865436550819692
0.1,0.9418792391982677,0.010747842310658812,0.9443573130118312,0.8922494014278128,0.9648109968677384,0.949542182558891,0.017707500008464865,0.9523016338616704,0.8058939768739908,0.9865436550819692
0.25,0.9420129446753739,0.010120603389612976,0.9442738202906992,0.9011021381237628,0.965121962695534,0.9467322667037178,0.018409506251639344,0.9498874645769674,0.8273343160273926,0.9840204970731878
0.5,0.9425893118929615,0.010044990913613615,0.9448595516643622,0.8987693465156096,0.9645579564701398,0.9414775439916299,0.021088890274636393,0.945551383034392,0.7973647344009938,0.98326674114206
0.75,0.9428762258033333,0.010001543860099361,0.9453073299239604,0.90607055866914,0.9642041196999364,0.9380599405724162,0.02459091116936215,0.9428272325759748,0.8147064817797065,0.9844403078674012
0.9,0.9427991809410539,0.010114945117820216,0.9451556725307816,0.8998808086936639,0.9649060941566634,0.9371225885584139,0.026611574492039332,0.9421089414724446,0.7688369968757466,0.989518977061422
0.99,0.9425464637207526,0.010100997866656757,0.9447274169868252,0.9022086976888372,0.9654969181294925,0.9350880553795304,0.027837554962778184,0.940314965442402,0.7555554408804588,0.9853135309850284
1,0.9426881270380228,0.010163720848159098,0.9448993926590624,0.9040031568620316,0.9671652075639938,0.9357889572294033,0.026947643829708944,0.9407685855686664,0.7392813232866996,0.9852147182936948
